Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month
236670.0,Wired Headphones,2.0,11.99,08/31/19 22:21,"359 Spruce St, Seattle, WA 98101",August
236671.0,Bose SoundSport Headphones,1.0,99.99,08/15/19 15:11,"492 Ridge St, Dallas, TX 75001",August
236672.0,iPhone,1.0,700.0,08/06/19 14:40,"149 7th St, Portland, OR 97035",August
236673.0,AA Batteries (4-pack),2.0,3.84,08/29/19 20:59,"631 2nd St, Los Angeles, CA 90001",August
236674.0,AA Batteries (4-pack),2.0,3.84,08/15/19 19:53,"736 14th St, New York City, NY 10001",August
236675.0,Wired Headphones,1.0,11.99,08/02/19 23:54,"470 Hill St, San Francisco, CA 94016",August
236676.0,34in Ultrawide Monitor,1.0,379.99,08/04/19 19:52,"470 Cherry St, Los Angeles, CA 90001",August
236677.0,20in Monitor,1.0,109.99,08/13/19 07:16,"918 6th St, San Francisco, CA 94016",August
236678.0,Wired Headphones,1.0,11.99,08/25/19 20:11,"58 9th St, San Francisco, CA 94016",August
236679.0,Macbook Pro Laptop,1.0,1700.0,08/07/19 15:43,"239 Spruce St, Los Angeles, CA 90001",August
236680.0,LG Washing Machine,1.0,600.0,08/09/19 19:38,"967 Willow St, San Francisco, CA 94016",August
236681.0,AA Batteries (4-pack),1.0,3.84,08/26/19 20:52,"295 1st St, Boston, MA 02215",August
236682.0,AA Batteries (4-pack),1.0,3.84,08/19/19 12:40,"118 Johnson St, Portland, OR 97035",August
236683.0,27in FHD Monitor,1.0,149.99,08/31/19 15:47,"196 West St, Dallas, TX 75001",August
236684.0,Lightning Charging Cable,1.0,14.95,08/09/19 16:50,"669 12th St, New York City, NY 10001",August
236685.0,Apple Airpods Headphones,1.0,150.0,08/23/19 19:29,"238 Highland St, Atlanta, GA 30301",August
236686.0,AAA Batteries (4-pack),1.0,2.99,08/15/19 19:13,"766 Maple St, Dallas, TX 75001",August
236687.0,USB-C Charging Cable,1.0,11.95,08/23/19 12:54,"668 Meadow St, New York City, NY 10001",August
236688.0,34in Ultrawide Monitor,1.0,379.99,08/08/19 16:06,"821 7th St, Los Angeles, CA 90001",August
236689.0,AAA Batteries (4-pack),1.0,2.99,08/21/19 10:55,"13 Cedar St, San Francisco, CA 94016",August
236690.0,AAA Batteries (4-pack),1.0,2.99,08/08/19 12:00,"139 River St, San Francisco, CA 94016",August
236691.0,USB-C Charging Cable,1.0,11.95,08/23/19 07:34,"916 Meadow St, Boston, MA 02215",August
236692.0,USB-C Charging Cable,1.0,11.95,08/20/19 13:26,"567 Center St, San Francisco, CA 94016",August
236693.0,27in 4K Gaming Monitor,1.0,389.99,08/12/19 21:57,"173 West St, Portland, OR 97035",August
236694.0,Apple Airpods Headphones,1.0,150.0,08/14/19 23:45,"854 Sunset St, New York City, NY 10001",August
236695.0,Bose SoundSport Headphones,1.0,99.99,08/04/19 19:06,"905 Pine St, San Francisco, CA 94016",August
236696.0,Lightning Charging Cable,1.0,14.95,08/21/19 00:48,"530 Church St, New York City, NY 10001",August
236697.0,AA Batteries (4-pack),1.0,3.84,08/25/19 23:13,"246 Willow St, San Francisco, CA 94016",August
236698.0,Wired Headphones,1.0,11.99,08/07/19 13:40,"526 Chestnut St, Dallas, TX 75001",August
236699.0,AA Batteries (4-pack),2.0,3.84,08/20/19 21:07,"763 Hill St, Atlanta, GA 30301",August
236700.0,Wired Headphones,1.0,11.99,08/09/19 08:55,"534 North St, Los Angeles, CA 90001",August
236701.0,Apple Airpods Headphones,1.0,150.0,08/06/19 10:36,"518 Main St, San Francisco, CA 94016",August
236702.0,ThinkPad Laptop,1.0,999.99,08/23/19 11:10,"615 11th St, Dallas, TX 75001",August
236703.0,Bose SoundSport Headphones,1.0,99.99,08/08/19 06:09,"861 Adams St, Atlanta, GA 30301",August
236704.0,Flatscreen TV,1.0,300.0,08/11/19 08:52,"415 Ridge St, San Francisco, CA 94016",August
236705.0,AA Batteries (4-pack),3.0,3.84,08/11/19 22:21,"27 North St, Austin, TX 73301",August
236706.0,Google Phone,1.0,600.0,08/14/19 14:19,"621 North St, San Francisco, CA 94016",August
236707.0,AA Batteries (4-pack),2.0,3.84,08/14/19 14:06,"306 West St, Los Angeles, CA 90001",August
236708.0,Apple Airpods Headphones,1.0,150.0,08/27/19 14:00,"353 Madison St, San Francisco, CA 94016",August
236709.0,iPhone,1.0,700.0,08/04/19 09:00,"869 Jackson St, San Francisco, CA 94016",August
236710.0,Macbook Pro Laptop,1.0,1700.0,08/04/19 02:46,"654 Chestnut St, Austin, TX 73301",August
236711.0,Macbook Pro Laptop,1.0,1700.0,08/28/19 17:28,"627 Lincoln St, Dallas, TX 75001",August
236712.0,AA Batteries (4-pack),2.0,3.84,08/30/19 07:14,"548 Jefferson St, Boston, MA 02215",August
236713.0,27in FHD Monitor,1.0,149.99,08/05/19 20:00,"852 8th St, San Francisco, CA 94016",August
236714.0,27in 4K Gaming Monitor,1.0,389.99,08/30/19 09:07,"194 Dogwood St, Atlanta, GA 30301",August
