Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month
150502.0,iPhone,1.0,700.0,02/18/19 01:35,"866 Spruce St, Portland, ME 04101",February
150503.0,AA Batteries (4-pack),1.0,3.84,02/13/19 07:24,"18 13th St, San Francisco, CA 94016",February
150504.0,27in 4K Gaming Monitor,1.0,389.99,02/18/19 09:46,"52 6th St, New York City, NY 10001",February
150505.0,Lightning Charging Cable,1.0,14.95,02/02/19 16:47,"129 Cherry St, Atlanta, GA 30301",February
150506.0,AA Batteries (4-pack),2.0,3.84,02/28/19 20:32,"548 Lincoln St, Seattle, WA 98101",February
150507.0,Lightning Charging Cable,1.0,14.95,02/24/19 18:50,"387 12th St, Austin, TX 73301",February
150508.0,AA Batteries (4-pack),1.0,3.84,02/21/19 19:26,"622 Center St, San Francisco, CA 94016",February
150509.0,Apple Airpods Headphones,1.0,150.0,02/26/19 19:53,"921 6th St, Seattle, WA 98101",February
150510.0,USB-C Charging Cable,1.0,11.95,02/17/19 21:48,"451 2nd St, Los Angeles, CA 90001",February
150511.0,USB-C Charging Cable,1.0,11.95,02/22/19 07:36,"689 River St, San Francisco, CA 94016",February
150512.0,Bose SoundSport Headphones,1.0,99.99,02/17/19 18:29,"198 Center St, Los Angeles, CA 90001",February
150513.0,Bose SoundSport Headphones,1.0,99.99,02/25/19 20:49,"777 Spruce St, Los Angeles, CA 90001",February
150514.0,27in FHD Monitor,1.0,149.99,02/03/19 00:21,"723 Wilson St, Los Angeles, CA 90001",February
150515.0,Apple Airpods Headphones,1.0,150.0,02/18/19 14:53,"101 13th St, New York City, NY 10001",February
150516.0,Lightning Charging Cable,1.0,14.95,02/20/19 12:29,"303 Sunset St, Atlanta, GA 30301",February
150517.0,Wired Headphones,1.0,11.99,02/08/19 12:57,"471 13th St, San Francisco, CA 94016",February
150518.0,Macbook Pro Laptop,1.0,1700.0,02/26/19 12:38,"847 10th St, San Francisco, CA 94016",February
150518.0,iPhone,1.0,700.0,02/26/19 12:38,"847 10th St, San Francisco, CA 94016",February
150519.0,Wired Headphones,1.0,11.99,02/23/19 13:25,"111 Hill St, Dallas, TX 75001",February
150520.0,AA Batteries (4-pack),2.0,3.84,02/27/19 14:39,"512 Church St, Dallas, TX 75001",February
150521.0,Flatscreen TV,1.0,300.0,02/27/19 20:07,"588 1st St, Los Angeles, CA 90001",February
150522.0,20in Monitor,1.0,109.99,02/12/19 00:00,"633 Cherry St, Boston, MA 02215",February
150523.0,LG Dryer,1.0,600.0,02/27/19 20:24,"452 8th St, San Francisco, CA 94016",February
150524.0,Wired Headphones,1.0,11.99,02/28/19 13:47,"311 8th St, Austin, TX 73301",February
150525.0,20in Monitor,1.0,109.99,02/25/19 09:38,"874 Jefferson St, San Francisco, CA 94016",February
150526.0,AAA Batteries (4-pack),1.0,2.99,02/15/19 11:31,"85 Park St, Boston, MA 02215",February
150527.0,USB-C Charging Cable,1.0,11.95,02/07/19 14:33,"165 Jefferson St, Los Angeles, CA 90001",February
150528.0,AAA Batteries (4-pack),2.0,2.99,02/26/19 23:17,"426 Lake St, Los Angeles, CA 90001",February
150529.0,AA Batteries (4-pack),4.0,3.84,02/11/19 13:10,"116 Elm St, Seattle, WA 98101",February
150530.0,ThinkPad Laptop,1.0,999.99,02/05/19 14:19,"752 Park St, Los Angeles, CA 90001",February
150531.0,USB-C Charging Cable,1.0,11.95,02/28/19 18:16,"457 Maple St, Los Angeles, CA 90001",February
150532.0,USB-C Charging Cable,1.0,11.95,02/04/19 22:57,"645 Walnut St, San Francisco, CA 94016",February
150533.0,AAA Batteries (4-pack),1.0,2.99,03/01/19 03:06,"270 Dogwood St, San Francisco, CA 94016",February
150534.0,AAA Batteries (4-pack),2.0,2.99,02/12/19 22:02,"246 9th St, Los Angeles, CA 90001",February
150535.0,AAA Batteries (4-pack),1.0,2.99,02/21/19 11:46,"961 2nd St, San Francisco, CA 94016",February
150536.0,Wired Headphones,1.0,11.99,02/13/19 22:43,"134 8th St, Los Angeles, CA 90001",February
150537.0,Wired Headphones,1.0,11.99,02/23/19 13:31,"437 12th St, San Francisco, CA 94016",February
150538.0,Apple Airpods Headphones,1.0,150.0,02/22/19 17:28,"553 12th St, Atlanta, GA 30301",February
150539.0,AA Batteries (4-pack),2.0,3.84,02/18/19 16:46,"103 14th St, San Francisco, CA 94016",February
150540.0,Apple Airpods Headphones,1.0,150.0,02/18/19 15:23,"218 Ridge St, Atlanta, GA 30301",February
150541.0,AAA Batteries (4-pack),1.0,2.99,03/01/19 01:03,"683 Adams St, Portland, OR 97035",February
150542.0,AA Batteries (4-pack),1.0,3.84,02/02/19 19:46,"517 10th St, Austin, TX 73301",February
150543.0,Wired Headphones,1.0,11.99,02/08/19 09:21,"268 Sunset St, Boston, MA 02215",February
150544.0,Lightning Charging Cable,1.0,14.95,02/10/19 17:19,"723 Elm St, Los Angeles, CA 90001",February
150545.0,Macbook Pro Laptop,1.0,1700.0,02/25/19 20:35,"905 Meadow St, Atlanta, GA 30301",February
150546.0,AAA Batteries (4-pack),1.0,2.99,02/07/19 14:01,"43 1st St, Atlanta, GA 30301",February
150547.0,AAA Batteries (4-pack),1.0,2.99,02/06/19 17:51,"511 Washington St, San Francisco, CA 94016",February
150548.0,Macbook Pro Laptop,1.0,1700.0,02/18/19 22:56,"750 Forest St, Boston, MA 02215",February
150549.0,iPhone,1.0,700.0,02/05/19 20:33,"522 West St, Boston, MA 02215",February
150550.0,ThinkPad Laptop,1.0,999.99,02/17/19 14:45,"261 Washington St, Los Angeles, CA 90001",February
150551.0,27in 4K Gaming Monitor,1.0,389.99,02/02/19 08:25,"726 West St, Seattle, WA 98101",February
150552.0,Wired Headphones,1.0,11.99,02/21/19 19:06,"954 13th St, Boston, MA 02215",February
150553.0,34in Ultrawide Monitor,1.0,379.99,02/20/19 21:42,"700 1st St, Dallas, TX 75001",February
150554.0,AA Batteries (4-pack),1.0,3.84,02/12/19 06:49,"33 Johnson St, New York City, NY 10001",February
150555.0,27in FHD Monitor,1.0,149.99,02/18/19 11:27,"714 Adams St, Portland, OR 97035",February
150556.0,Lightning Charging Cable,1.0,14.95,02/10/19 13:25,"419 Hill St, Los Angeles, CA 90001",February
150557.0,AA Batteries (4-pack),2.0,3.84,02/22/19 21:41,"372 5th St, Seattle, WA 98101",February
150558.0,Wired Headphones,1.0,11.99,02/04/19 16:09,"864 Hickory St, Boston, MA 02215",February
150559.0,Apple Airpods Headphones,1.0,150.0,02/07/19 23:41,"506 Willow St, Boston, MA 02215",February
150560.0,Apple Airpods Headphones,1.0,150.0,02/05/19 14:29,"178 14th St, San Francisco, CA 94016",February
150561.0,Wired Headphones,1.0,11.99,02/22/19 17:55,"888 Jefferson St, New York City, NY 10001",February
150562.0,27in 4K Gaming Monitor,1.0,389.99,02/16/19 20:07,"663 1st St, Atlanta, GA 30301",February
150563.0,iPhone,1.0,700.0,02/20/19 02:09,"631 Pine St, San Francisco, CA 94016",February
150564.0,USB-C Charging Cable,1.0,11.95,02/28/19 13:55,"579 9th St, Atlanta, GA 30301",February
150565.0,Wired Headphones,1.0,11.99,02/24/19 19:08,"406 Lincoln St, Seattle, WA 98101",February
150566.0,27in FHD Monitor,1.0,149.99,02/21/19 18:30,"230 Pine St, Los Angeles, CA 90001",February
150567.0,Apple Airpods Headphones,1.0,150.0,02/26/19 16:12,"466 South St, Dallas, TX 75001",February
