Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month
222910.0,Apple Airpods Headphones,1.0,150.0,07/26/19 16:51,"389 South St, Atlanta, GA 30301",July
222911.0,Flatscreen TV,1.0,300.0,07/05/19 08:55,"590 4th St, Seattle, WA 98101",July
222912.0,AA Batteries (4-pack),1.0,3.84,07/29/19 12:41,"861 Hill St, Atlanta, GA 30301",July
222913.0,AA Batteries (4-pack),1.0,3.84,07/28/19 10:15,"190 Ridge St, Atlanta, GA 30301",July
222914.0,AAA Batteries (4-pack),5.0,2.99,07/31/19 02:13,"824 Forest St, Seattle, WA 98101",July
222915.0,Bose SoundSport Headphones,1.0,99.99,07/03/19 18:30,"899 Elm St, San Francisco, CA 94016",July
222916.0,Google Phone,1.0,600.0,07/21/19 22:39,"745 Chestnut St, New York City, NY 10001",July
222917.0,LG Dryer,1.0,600.0,07/17/19 13:44,"490 Adams St, New York City, NY 10001",July
222918.0,USB-C Charging Cable,1.0,11.95,07/14/19 21:16,"207 1st St, Los Angeles, CA 90001",July
222919.0,Lightning Charging Cable,1.0,14.95,07/14/19 13:24,"29 Jefferson St, Dallas, TX 75001",July
222920.0,AA Batteries (4-pack),1.0,3.84,07/30/19 04:42,"590 6th St, San Francisco, CA 94016",July
222921.0,Lightning Charging Cable,1.0,14.95,07/02/19 11:04,"960 Willow St, San Francisco, CA 94016",July
222922.0,34in Ultrawide Monitor,1.0,379.99,07/20/19 21:12,"616 Chestnut St, Dallas, TX 75001",July
222923.0,AAA Batteries (4-pack),1.0,2.99,07/05/19 12:16,"105 Johnson St, Los Angeles, CA 90001",July
222924.0,Bose SoundSport Headphones,1.0,99.99,07/13/19 20:46,"444 Spruce St, San Francisco, CA 94016",July
222925.0,Apple Airpods Headphones,1.0,150.0,07/09/19 02:59,"764 Adams St, San Francisco, CA 94016",July
222926.0,Lightning Charging Cable,2.0,14.95,07/15/19 17:44,"577 Lakeview St, Los Angeles, CA 90001",July
222927.0,Wired Headphones,1.0,11.99,07/31/19 20:34,"244 Washington St, Los Angeles, CA 90001",July
222928.0,Google Phone,1.0,600.0,07/15/19 17:18,"524 Cherry St, San Francisco, CA 94016",July
222929.0,Vareebadd Phone,1.0,400.0,07/04/19 19:46,"882 Hickory St, Boston, MA 02215",July
222930.0,Lightning Charging Cable,1.0,14.95,07/20/19 20:57,"826 River St, San Francisco, CA 94016",July
222931.0,USB-C Charging Cable,1.0,11.95,07/18/19 09:21,"145 Pine St, Boston, MA 02215",July
222932.0,Wired Headphones,1.0,11.99,07/24/19 17:32,"386 Cedar St, Los Angeles, CA 90001",July
222933.0,LG Dryer,1.0,600.0,07/30/19 13:20,"76 2nd St, Los Angeles, CA 90001",July
222934.0,AA Batteries (4-pack),2.0,3.84,07/03/19 23:51,"437 River St, Seattle, WA 98101",July
222935.0,AAA Batteries (4-pack),1.0,2.99,07/23/19 12:20,"118 9th St, San Francisco, CA 94016",July
222936.0,27in FHD Monitor,1.0,149.99,07/04/19 12:29,"483 West St, Boston, MA 02215",July
222937.0,Lightning Charging Cable,2.0,14.95,07/03/19 09:01,"538 North St, San Francisco, CA 94016",July
222938.0,Flatscreen TV,1.0,300.0,07/20/19 17:49,"523 Hickory St, Dallas, TX 75001",July
222939.0,Apple Airpods Headphones,1.0,150.0,07/17/19 21:53,"597 Madison St, Los Angeles, CA 90001",July
222940.0,Wired Headphones,2.0,11.99,07/05/19 15:06,"779 Maple St, San Francisco, CA 94016",July
222941.0,Apple Airpods Headphones,1.0,150.0,07/02/19 05:48,"631 Willow St, San Francisco, CA 94016",July
222942.0,Lightning Charging Cable,1.0,14.95,07/07/19 10:00,"424 Church St, Portland, OR 97035",July
222943.0,Lightning Charging Cable,1.0,14.95,07/20/19 23:39,"575 4th St, Seattle, WA 98101",July
222944.0,27in FHD Monitor,1.0,149.99,07/07/19 22:52,"70 Meadow St, San Francisco, CA 94016",July
222945.0,Wired Headphones,1.0,11.99,07/21/19 21:51,"191 Dogwood St, Los Angeles, CA 90001",July
222946.0,20in Monitor,1.0,109.99,07/14/19 22:19,"49 Park St, New York City, NY 10001",July
222947.0,ThinkPad Laptop,1.0,999.99,07/16/19 09:15,"612 Spruce St, New York City, NY 10001",July
222948.0,USB-C Charging Cable,1.0,11.95,07/10/19 08:18,"631 12th St, San Francisco, CA 94016",July
